3,|88695
-0.727|,|88696
-0.730|,|88698
-0.733|,|88700
-0.737|,|88702
-0.751|,|88704
-0.750|,|88706
-0.745|,|88708
-0.736|,|88709
-0.744|,|4
-0.742|,|5
-0.739|,|6
-0.757|,|7
-0.751|,|7
-0.753|,|8
-0.751|,|9
-0.739|,|10
-0.744|,|11
-0.749|,|12
-0.741|,|12
-0.756|,|13
-0.760|,|14
-0.737|,|15
-0.736|,|16
-0.728|,|17
-0.730|,|17
-0.743|,|18
-0.738|,|19
-0.741|,|21
-0.748|,|22
-0.745|,|23
-0.760|,|25
-0.757|,|26
-0.741|,|27
-0.744|,|28
-0.743|,|30
-0.760|,|31
-0.735|,|32
-0.728|,|34
-0.737|,|35
-0.736|,|36
-0.744|,|38
-0.731|,|39
-0.750|,|40
-0.756|,|43
-0.746|,|44
-0.741|,|45
-0.742|,|47
-0.746|,|48
-0.739|,|49
-0.736|,|51
-0.727|,|52
-0.745|,|53
-0.741|,|55
-0.735|,|56
-0.741|,|57
-0.762|,|58
-0.753|,|60
-0.750|,|61
-0.742|,|62
-0.740|,|64
-0.753|,|65
-0.732|,|66
-0.737|,|68
-0.743|,|69
-0.750|,|70
-0.735|,|72
-0.737|,|73
-0.766|,|74
-0.759|,|76
-0.756|,|77
-0.741|,|78
-0.743|,|80
-0.755|,|81
-0.746|,|82
-0.732|,|84
-0.743|,|86
-0.750|,|87
-0.733|,|88
-0.738|,|90
-0.756|,|91
-0.762|,|92
-0.753|,|94
-0.742|,|95
-0.745|,|96
-0.746|,|98
-0.749|,|99
-0.725|,|100
-0.740|,|102
-0.741|,|103
-0.741|,|105
-0.736|,|106
-0.759|,|108
-0.759|,|109
-0.751|,|111
-0.745|,|112
-0.741|,|113
-0.748|,|115
-0.729|,|116
-0.746|,|118
-0.744|,|119
-0.749|,|121
-0.734|,|122
-0.750|,|124
-0.764|,|125
-0.742|,|126
-0.751|,|129
-0.744|,|130
-0.744|,|132
-0.731|,|133
-0.731|,|135
-0.739|,|136
-0.751|,|138
-0.733|,|139
-0.744|,|141
-0.759|,|142
-0.751|,|143
-0.755|,|145
-0.742|,|146
-0.747|,|148
-0.738|,|149
-0.721|,|151
-0.745|,|152
-0.743|,|154
-0.745|,|155
-0.737|,|156
-0.755|,|158
-0.756|,|159
-0.750|,|161
-0.744|,|162
-0.751|,|164
-0.740|,|165
-0.729|,|167
-0.743|,|168
-0.741|,|171
-0.752|,|172
-0.733|,|173
-0.750|,|175
-0.756|,|176
-0.742|,|178
-0.745|,|179
-0.749|,|181
-0.754|,|182
-0.729|,|184
-0.721|,|185
-0.745|,|186
-0.739|,|188
-0.734|,|189
-0.755|,|191
-0.752|,|192
-0.753|,|194
-0.747|,|195
-0.746|,|197
-0.749|,|198
-0.728|,|200
-0.721|,|201
-0.744|,|202
-0.742|,|204
-0.738|,|205
-0.746|,|207
-0.744|,|208
-0.752|,|210
-0.742|,|211
-0.744|,|214
-0.755|,|215
-0.741|,|216
-0.723|,|218
-0.735|,|219
-0.741|,|221
-0.747|,|222
-0.739|,|224
-0.755|,|225
-0.752|,|227
-0.749|,|228
-0.746|,|230
-0.755|,|231
-0.751|,|232
-0.729|,|234
-0.728|,|235
-0.743|,|237
-0.744|,|238
-0.737|,|240
-0.759|,|241
-0.744|,|243
-0.750|,|244
-0.738|,|245
-0.748|,|247
-0.740|,|248
-0.729|,|250
-0.730|,|251
-0.741|,|253
-0.739|,|254
-0.745|,|257
-0.758|,|258
-0.746|,|260
-0.747|,|261
-0.744|,|262
-0.748|,|264
-0.755|,|265
-0.741|,|267
-0.732|,|268
-0.735|,|270
-0.740|,|271
-0.740|,|273
-0.747|,|274
-0.763|,|275
-0.750|,|277
-0.747|,|278
-0.742|,|280
-0.753|,|281
-0.731|,|283
-0.729|,|284
-0.735|,|286
-0.743|,|287
-0.734|,|289
-0.741|,|290
-0.765|,|291
-0.744|,|293
-0.751|,|294
-0.736|,|296
-0.748|,|297
-0.738|,|300
-0.727|,|301
-0.742|,|303
-0.739|,|304
-0.736|,|305
-0.738|,|307
-0.756|,|308
-0.756|,|310
-0.747|,|311
-0.747|,|313
-0.747|,|314
-0.746|,|316
-0.738|,|317
-0.732|,|319
-0.741|,|320
-0.738|,|321
-0.731|,|323
-0.756|,|324
-0.762|,|326
-0.744|,|327
-0.745|,|329
-0.740|,|330
-0.747|,|332
-0.734|,|333
-0.732|,|334
-0.745|,|336
-0.742|,|337
-0.731|,|339
-0.753|,|340
-0.759|,|343
-0.750|,|344
-0.753|,|346
-0.736|,|347
-0.747|,|349
-0.735|,|350
-0.729|,|351
-0.746|,|353
-0.740|,|354
-0.732|,|356
-0.742|,|357
-0.755|,|359
-0.752|,|360
-0.750|,|362
-0.745|,|363
-0.753|,|364
-0.731|,|366
-0.730|,|367
-0.745|,|369
-0.739|,|370
-0.741|,|372
-0.728|,|373
-0.753|,|375
-0.759|,|376
-0.745|,|378
-0.749|,|379
-0.742|,|380
-0.736|,|382
-0.735|,|384
-0.732|,|386
-0.750|,|387
-0.744|,|389
-0.731|,|390
-0.755|,|392
-0.751|,|393
-0.750|,|394
-0.746|,|396
-0.742|,|397
-0.745|,|399
-0.734|,|400
-0.731|,|402
-0.751|,|403
-0.743|,|405
-0.730|,|406
-0.742|,|408
-0.751|,|409
-0.750|,|410
-0.749|,|412
-0.749|,|413
-0.753|,|415
-0.719|,|416
-0.731|,|418
-0.734|,|419
-0.747|,|421
-0.735|,|422
-0.751|,|423
-0.755|,|425
-0.747|,|427
-0.745|,|429
-0.748|,|430
-0.749|,|432
-0.727|,|433
-0.734|,|435
-0.737|,|436
-0.746|,|438
-0.744|,|439
-0.741|,|440
-0.758|,|442
-0.746|,|443
-0.749|,|445
-0.749|,|446
-0.748|,|448
-0.746|,|449
-0.721|,|451
-0.732|,|452
-0.744|,|453
-0.742|,|455
-0.737|,|456
-0.758|,|458
-0.749|,|459
-0.751|,|461
-0.742|,|462
-0.756|,|464
-0.749|,|465
-0.722|,|467
-0.739|,|468
-0.741|,|470
-0.745|,|472
-0.743|,|473
-0.754|,|475
-0.759|,|476
-0.746|,|478
-0.745|,|479
-0.752|,|481
-0.754|,|482
-0.731|,|484
-0.731|,|485
-0.736|,|486
-0.745|,|488
-0.739|,|489
-0.746|,|491
-0.757|,|492
-0.740|,|494
-0.748|,|495
-0.750|,|497
-0.754|,|498
-0.736|,|499
-0.721|,|501
-0.730|,|502
-0.732|,|504
-0.746|,|505
-0.745|,|507
-0.764|,|508
-0.750|,|510
-0.744|,|512
-0.748|,|514
-0.755|,|515
-0.744|,|516
-0.726|,|518
-0.736|,|519
-0.737|,|521
-0.748|,|522
-0.744|,|524
-0.753|,|525
-0.759|,|527
-0.739|,|528
-0.741|,|529
-0.755|,|531
-0.753|,|532
-0.733|,|534
-0.732|,|535
-0.737|,|537
-0.744|,|538
-0.734|,|540
-0.759|,|541
-0.750|,|543
-0.745|,|544
-0.743|,|545
-0.744|,|547
-0.761|,|548
-0.736|,|550
-0.730|,|551
-0.740|,|553
-0.735|,|555
-0.738|,|557
-0.757|,|558
-0.754|,|559
-0.758|,|561
-0.742|,|562
-0.744|,|564
-0.750|,|565
-0.736|,|567
-0.733|,|568
-0.742|,|570
-0.736|,|571
-0.745|,|573
-0.747|,|574
-0.754|,|575
-0.758|,|577
-0.742|,|578
-0.744|,|580
-0.757|,|581
-0.744|,|583
-0.737|,|584
-0.737|,|586
-0.744|,|587
-0.742|,|588
-0.735|,|590
-0.763|,|591
-0.753|,|593
-0.749|,|594
-0.744|,|596
-0.745|,|598
-0.734|,|600
-0.736|,|601
-0.736|,|603
-0.746|,|604
-0.739|,|605
-0.734|,|607
-0.765|,|608
-0.748|,|610
-0.760|,|611
-0.739|,|613
-0.735|,|614
-0.744|,|616
-0.732|,|617
-0.738|,|618
-0.744|,|620
-0.738|,|621
-0.746|,|623
-0.753|,|624
-0.752|,|626
-0.756|,|627
-0.746|,|629
-0.742|,|630
-0.749|,|632
-0.732|,|633
-0.736|,|634
-0.740|,|636
-0.744|,|637
-0.737|,|640
-0.735|,|641
-0.757|,|643
-0.751|,|644
-0.754|,|646
-0.742|,|647
-0.746|,|648
-0.733|,|650
-0.729|,|651
-0.736|,|653
-0.745|,|654
-0.732|,|656
-0.736|,|657
-0.765|,|659
-0.745|,|660
-0.756|,|662
-0.744|,|663
-0.744|,|664
-0.733|,|666
-0.727|,|667
-0.736|,|669
-0.746|,|670
-0.735|,|672
-0.736|,|673
-0.753|,|675
-0.753|,|676
-0.754|,|677
-0.749|,|679
-0.746|,|680
-0.742|,|683
-0.726|,|684
-0.736|,|686
-0.744|,|687
-0.748|,|689
-0.740|,|690
-0.741|,|692
-0.761|,|693
-0.750|,|694
-0.755|,|696
-0.749|,|697
-0.744|,|699
-0.728|,|700
-0.727|,|702
-0.740|,|703
-0.756|,|705
-0.733|,|706
-0.743|,|707
-0.757|,|709
-0.747|,|710
-0.753|,|712
-0.748|,|713
-0.749|,|715
-0.734|,|716
-0.728|,|718
-0.742|,|719
-0.743|,|721
-0.737|,|722
-0.736|,|723
-0.752|,|726
-0.750|,|727
-0.754|,|729
-0.744|,|730
-0.752|,|732
-0.735|,|733
-0.720|,|735
-0.737|,|736
-0.741|,|737
-0.744|,|739
-0.745|,|740
-0.753|,|742
-0.751|,|743
-0.740|,|745
-0.747|,|746
-0.750|,|748
-0.742|,|749
-0.726|,|751
-0.726|,|752
-0.746|,|753
-0.748|,|755
-0.733|,|756
-0.759|,|758
-0.743|,|759
-0.748|,|761
-0.744|,|762
-0.746|,|764
-0.755|,|765
-0.727|,|766
-0.725|,|769
-0.735|,|770
-0.742|,|772
-0.736|,|773
-0.745|,|775
-0.750|,|776
-0.747|,|778
-0.744|,|779
-0.747|,|781
-0.758|,|782
-0.733|,|783
-0.726|,|785
-0.736|,|786
-0.742|,|788
-0.742|,|789
-0.753|,|791
-0.768|,|792
-0.746|,|794
-0.738|,|795
-0.744|,|796
-0.749|,|798
-0.739|,|799
-0.729|,|801
-0.732|,|802
-0.740|,|804
-0.745|,|805
-0.743|,|807
-0.762|,|808
-0.751|,|811
-0.749|,|812
-0.744|,|813
-0.746|,|815
-0.754|,|816
-0.731|,|818
-0.732|,|819
-0.741|,|821
-0.736|,|822
-0.738|,|824
-0.764|,|825
-0.755|,|826
-0.747|,|828
-0.739|,|829
-0.748|,|831
-0.756|,|832
-0.728|,|834
-0.735|,|835
-0.736|,|837
-0.740|,|838
-0.741|,|840
-0.757|,|841
-0.767|,|842
-0.745|,|844
-0.741|,|845
-0.746|,|847
-0.752|,|848
-0.736|,|850
-0.734|,|851
-0.732|,|854
-0.744|,|855
-0.739|,|857
-0.749|,|858
-0.760|,|859
-0.744|,|861
-0.748|,|862
-0.740|,|864
-0.743|,|865
-0.746|,|867
-0.724|,|868
-0.737|,|870
-0.740|,|871
-0.735|,|872
-0.748|,|874
-0.756|,|875
-0.753|,|877
-0.748|,|878
-0.737|,|880
-0.749|,|881
-0.747|,|883
-0.725|,|884
-0.747|,|886
-0.743|,|887
-0.743|,|888
-0.737|,|890
-0.755|,|891
-0.769|,|893
-0.745|,|894
-0.744|,|897
-0.743|,|898
-0.745|,|900
-0.737|,|901
-0.739|,|902
-0.739|,|904
-0.742|,|905
-0.727|,|907
-0.755|,|908
-0.762|,|910
-0.750|,|911
-0.748|,|913
-0.739|,|914
-0.745|,|916
-0.734|,|917
-0.728|,|918
-0.743|,|920
-0.742|,|921
-0.734|,|923
-0.752|,|924
-0.757|,|926
-0.758|,|927
-0.745|,|929
-0.739|,|930
-0.751|,|931
-0.735|,|933
-0.729|,|934
-0.751|,|936
-0.745|,|937
-0.745|,|940
-0.739|,|941
-0.754|,|943
-0.758|,|944
-0.750|,|946
-0.745|,|947
-0.750|,|948
-0.739|,|950
-0.736|,|951
-0.742|,|953
-0.743|,|954
-0.749|,|956
-0.731|,|957
-0.753|,|959
-0.754|,|960
-0.755|,|961
-0.751|,|963
-0.746|,|964
-0.728|,|966
-0.732|,|967
-0.736|,|969
-0.748|,|970
-0.746|,|972
-0.733|,|973
-0.758|,|975
-0.751|,|976
-0.755|,|977
-0.747|,|979
-0.744|,|980
-0.742|,|983
-0.729|,|984
-0.730|,|986
-0.747|,|987
-0.744|,|989
-0.753|,|990
-0.747|,|991
-0.745|,|993
-0.753|,|994
-0.752|,|996
-0.743|,|997
-0.755|,|999
-0.738|,|1000
-0.727|,|1002
-0.738|,|1003
-0.746|,|1005
-0.737|,|1006
-0.754|,|1008
-0.746|,|1010
-0.752|,|1011
-0.742|,|1013
-0.754|,|1014
-0.749|,|1016
-0.722|,|1018
-0.739|,|1019
-0.750|,|1021
-0.740|,|1022
-0.741|,|1025
-0.753|,|1026
-0.745|,|1028
-0.742|,|1030
-0.757|,|1031
-0.753|,|1033
-0.722|,|1034
-0.739|,|1036
-0.744|,|1038
-0.746|,|1039
-0.739|,|1041
-0.757|,|1042
-0.744|,|1044
-0.743|,|1045
-0.749|,|1047
-0.750|,|1049
-0.732|,|1050
-0.730|,|1052
-0.738|,|1053
-0.745|,|1055
-0.741|,|1057
-0.755|,|1058
-0.747|,|1060
-0.745|,|1061
-0.736|,|1063
-0.749|,|1064
-0.746|,|1067
-0.720|,|1069
-0.740|,|1070
-0.746|,|1072
-0.741|,|1073
-0.750|,|1075
-0.756|,|1077
-0.743|,|1078
-0.743|,|1080
-0.752|,|1081
-0.742|,|1083
-0.727|,|1084
-0.739|,|1086
-0.733|,|1088
-0.740|,|1089
-0.754|,|1091
-0.755|,|1092
-0.752|,|1094
-0.747|,|1096
-0.740|,|1097
-0.747|,|1099
-0.735|,|1100
-0.735|,|1102
-0.737|,|1103
-0.745|,|1105
-0.744|,|1107
-0.764|,|1108
-0.760|,|1111
-0.739|,|1112
-0.742|,|1114
-0.754|,|1115
-0.736|,|1117
-0.726|,|1119
-0.739|,|1120
-0.743|,|1122
-0.737|,|1123
-0.756|,|1125
-0.759|,|1127
-0.745|,|1128
-0.748|,|1130
-0.750|,|1131
-0.737|,|1133
-0.728|,|1134
-0.743|,|1136
-0.740|,|1138
-0.745|,|1139
-0.745|,|1141
-0.761|,|1142
-0.754|,|1144
-0.741|,|1146
-0.740|,|1147
-0.747|,|1149
-0.736|,|1150
-0.736|,|1153
-0.745|,|1154
-0.737|,|1156
-0.729|,|1158
-0.766|,|1159
-0.756|,|1161
-0.745|,|1162
-0.740|,|1164
-0.759|,|1166
-0.738|,|1167
-0.732|,|1169
-0.737|,|1170
-0.744|,|1172
-0.737|,|1173
-0.761|,|1175
-0.754|,|1177
-0.751|,|1178
-0.748|,|1180
-0.750|,|1181
-0.732|,|1183
-0.732|,|1185
-0.735|,|1186
