x-axis,y-axis,z-axis,|time
-0.612915625|,-6.58884296875,-7.048529687499999,|0.0013913459999912448
-0.612915625|,-6.58884296875,-7.048529687499999,|0.0019616549999454946
-0.612915625|,-6.58884296875,-7.048529687499999,|0.0024000899999236935
-0.612915625|,-6.4356140625,-7.048529687499999,|0.0028218059999289835
-0.612915625|,-6.4356140625,-7.048529687499999,|0.003237584999965293
-0.612915625|,-6.4356140625,-7.048529687499999,|0.0036535719999619687
-0.612915625|,-6.4356140625,-6.89530078125,|0.004069403000016791
-0.612915625|,-6.4356140625,-6.89530078125,|0.004540857999927539
-0.612915625|,-6.4356140625,-7.048529687499999,|0.004971220000015819
-0.612915625|,-6.4356140625,-7.048529687499999,|0.005386738999959562
-0.612915625|,-6.4356140625,-7.048529687499999,|0.005851996999922449
-0.612915625|,-6.4356140625,-6.89530078125,|0.006415898999989622
-0.612915625|,-6.4356140625,-6.89530078125,|0.0069411569999147105
-0.612915625|,-6.4356140625,-7.048529687499999,|0.0074264139999513645
-0.612915625|,-6.4356140625,-7.048529687499999,|0.007920890999912444
-0.612915625|,-6.4356140625,-7.048529687499999,|0.008505469999931847
-0.612915625|,-6.4356140625,-7.048529687499999,|0.009030467000002318
-0.612915625|,-6.4356140625,-7.048529687499999,|0.009474526999952104
-0.612915625|,-6.4356140625,-7.048529687499999,|0.00989181699992514
-0.612915625|,-6.4356140625,-7.048529687499999,|0.01030676199991376
-0.612915625|,-6.4356140625,-7.048529687499999,|0.010762644999999793
-0.612915625|,-6.4356140625,-7.048529687499999,|0.011324725000008584
-0.612915625|,-6.4356140625,-7.048529687499999,|0.011859565000008843
-0.612915625|,-6.4356140625,-7.048529687499999,|0.01241773899994314
-0.612915625|,-6.4356140625,-7.048529687499999,|0.01296872499995061
-0.612915625|,-6.4356140625,-7.048529687499999,|0.013533983000002081
-0.612915625|,-6.4356140625,-6.89530078125,|0.014010803000019223
-0.612915625|,-6.4356140625,-6.89530078125,|0.014432779000003393
-0.612915625|,-6.4356140625,-7.048529687499999,|0.0148469959999602
-0.612915625|,-6.4356140625,-7.048529687499999,|0.015259857999922133
-0.612915625|,-6.4356140625,-7.048529687499999,|0.01572860499993567
-0.612915625|,-6.4356140625,-7.048529687499999,|0.016344956000011734
-0.612915625|,-6.4356140625,-7.048529687499999,|0.01693974399995568
