time,|spark
|,|8
318297|,|7
318298|,|7
318298|,|7
318299|,|7
318300|,|7
3266108|,|5
3266108|,|5
3266109|,|4
3266110|,|5
3266111|,|4
3266112|,|5
3266113|,|4
3266113|,|5
3266114|,|5
3266115|,|2
3266116|,|5
0|,|58
0|,|57
1|,|57
1|,|57
1|,|56
1|,|56
2|,|56
2|,|56
2|,|55
3|,|55
3|,|55
3|,|56
4|,|55
4|,|55
4|,|55
4|,|54
5|,|54
5|,|54
5|,|54
6|,|54
6|,|54
6|,|54
7|,|54
7|,|54
7|,|54
7|,|54
8|,|53
8|,|53
8|,|53
9|,|53
9|,|54
9|,|53
10|,|53
10|,|53
10|,|53
11|,|53
11|,|53
11|,|52
12|,|53
12|,|52
12|,|52
13|,|52
13|,|52
14|,|52
14|,|52
15|,|52
15|,|53
16|,|53
16|,|53
17|,|53
17|,|53
18|,|53
18|,|53
19|,|53
19|,|53
20|,|53
20|,|53
21|,|53
21|,|53
22|,|53
22|,|53
23|,|53
23|,|53
24|,|53
24|,|53
25|,|52
25|,|52
26|,|53
26|,|52
27|,|52
27|,|52
28|,|53
28|,|52
29|,|52
29|,|53
30|,|53
30|,|53
31|,|52
31|,|52
32|,|52
32|,|53
33|,|52
33|,|53
34|,|53
34|,|53
35|,|53
35|,|53
36|,|53
36|,|53
37|,|53
37|,|52
38|,|53
38|,|53
39|,|53
39|,|53
40|,|53
40|,|53
41|,|53
41|,|53
43|,|53
43|,|53
44|,|53
44|,|53
45|,|53
45|,|53
46|,|53
46|,|53
47|,|53
47|,|53
48|,|53
48|,|52
49|,|53
49|,|53
50|,|53
50|,|53
51|,|54
51|,|53
52|,|53
52|,|53
53|,|54
53|,|53
54|,|53
54|,|53
55|,|54
55|,|54
56|,|53
56|,|53
57|,|53
57|,|53
58|,|53
58|,|53
58|,|53
59|,|53
59|,|53
60|,|52
60|,|53
61|,|52
61|,|53
62|,|53
62|,|53
63|,|53
63|,|53
64|,|53
64|,|53
65|,|52
65|,|52
66|,|52
66|,|52
67|,|52
67|,|52
68|,|52
68|,|53
69|,|53
69|,|53
70|,|53
70|,|53
71|,|53
71|,|52
72|,|52
72|,|52
73|,|52
73|,|52
74|,|52
74|,|52
75|,|52
75|,|52
76|,|51
76|,|52
77|,|51
77|,|52
78|,|51
78|,|50
79|,|51
79|,|51
80|,|51
80|,|52
81|,|52
81|,|52
82|,|52
82|,|52
83|,|52
83|,|52
84|,|52
84|,|52
86|,|52
86|,|52
87|,|52
87|,|52
88|,|52
88|,|52
89|,|52
89|,|52
90|,|52
90|,|52
91|,|52
91|,|51
92|,|52
92|,|52
93|,|52
93|,|52
94|,|52
94|,|52
95|,|52
95|,|51
96|,|52
96|,|52
97|,|52
97|,|52
98|,|52
98|,|52
99|,|52
99|,|53
100|,|53
100|,|52
101|,|52
102|,|52
102|,|52
103|,|52
103|,|52
104|,|53
104|,|53
105|,|52
106|,|52
106|,|52
107|,|52
107|,|52
108|,|53
109|,|52
109|,|52
110|,|52
110|,|52
111|,|52
111|,|52
112|,|52
113|,|52
113|,|52
114|,|52
114|,|52
115|,|52
116|,|53
116|,|52
117|,|53
117|,|53
118|,|52
118|,|53
119|,|52
120|,|53
120|,|53
121|,|52
121|,|53
122|,|52
122|,|52
123|,|53
124|,|52
124|,|52
125|,|52
125|,|52
126|,|52
128|,|52
128|,|52
129|,|52
129|,|52
130|,|52
130|,|52
131|,|52
132|,|51
132|,|52
133|,|52
133|,|52
134|,|51
135|,|52
135|,|52
136|,|52
136|,|52
137|,|52
137|,|52
138|,|52
139|,|52
139|,|52
140|,|52
140|,|51
141|,|51
142|,|51
142|,|51
143|,|51
143|,|51
144|,|51
144|,|51
145|,|51
146|,|50
146|,|50
147|,|50
147|,|50
148|,|50
148|,|50
149|,|49
150|,|50
150|,|50
151|,|50
151|,|50
152|,|50
153|,|50
153|,|49
154|,|50
154|,|49
155|,|49
155|,|49
156|,|48
157|,|48
157|,|47
158|,|47
158|,|47
159|,|46
160|,|45
160|,|45
161|,|44
161|,|44
162|,|43
162|,|42
163|,|42
164|,|42
164|,|42
165|,|42
165|,|42
